产品 ,技术突破,规模生产,国内份额,国内外主要企业,是否为国 内首家 
高纯六氟乙烷,2011,2013,60.26%,绿菱气体、昭和电工、关东电化,国内首家 
高纯氧,2011,2013,14.73%,昭和电工、金宏,未明确 
高纯一氧化氮,2011,2013,,住友精化,国内首家 
高纯四氟化碳,2011,2014,21.17%,昭和电工、关东电化,国内首家 
高纯四氟化碳,2012,2014,35.70%,林德集团,国内首家 
高纯三氯甲烷,2013,2016,14.50%,绿菱气体、昭和电工、关东电化,国内首家 
Kr/Ne 混合气 ,2014,2016,60.00%,林德集团、液化空气集团、普莱克斯集团等,国内首家 
Ar/Ne 混合气 ,2014,2016,60.00%,林德集团、液化空气集团、普莱克斯集团等,国内首家 
Ar/Xe/Ne 混合气 ,2014,2016,60.00%,林德集团、液化空气集团、普莱克斯集团等,国内首家 
Kr/F/Ne 混合气 ,2014,2016,60.00%,林德集团、液化空气集团、普莱克斯集团等,国内首家 
高纯八氟环丁烷 ,2015,2016,6.40%,绿菱气体、昭和电工、关东电化,未明确 
超高纯氩 ,2016,2017,,林德集团,未明确 
锗烷混氢 ,2016,2017,,空气化工集团,未明确 
高纯八氟丙烷 ,2017,2018,,关东电化,国内首家 
超高纯氦 ,2017,2018,,液化空气集团、普莱克斯集团,未明确 
超高纯氮 ,2017,2017,,林德集团,未明确 
高纯氪 ,2016,2017,,林德集团、空气化工集团、普莱克斯,未明确 
高纯一氟甲烷 ,2018,小规模试用,,昭和电工、关东电化、大阳日酸,未明确 
高纯二氟甲烷 ,2018,小规模试用,,昭和电工、关东电化,未明确 
高纯一氧化碳 ,2016,2018,20.60%,住友精化、大阳日酸,国内首家 
氦氧混合气 ,2016,2018,,空气化工产品集团、普莱克斯集团,未明确 